cutoff_year,concept_i_ite_donor,concept_j_tg_anchor,i_type,j_type,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,semantic_similarity,cross_type,ite_lead_years_for_u,u_seen_in_ite,u_seen_in_tg,v_seen_in_tg,ml_score,graph_adoption_score,actionability_score,hybrid_adoption_score,hybrid_actionability_score
2026,nanochannel-confined ion transport,carbon-electrode redox interface,transport_mechanism,electrode_interface,19,21,7,20,19,5,7,1.8744670984481921,399,2,0.0,1,6,1,1,1,0.8608500193817367,1.568855421686747,1.7488554216867471,0.8662650602409638,1.0462650602409638
2026,nanochannel-confined ion transport,salting-out confined ion gel,transport_mechanism,gel_microstructure,19,12,7,6,19,8,8,2.1919857285758657,228,2,0.27576120157783107,1,6,1,1,1,0.8667688824075199,1.5416867469879516,1.7216867469879518,0.8644578313253012,1.0444578313253012
2026,soft mixed ionic-electronic coupling,carbon-electrode redox interface,transport_mechanism,electrode_interface,16,21,3,20,16,5,6,1.5888687518265874,336,2,0.10079375687787044,1,10,1,1,1,0.8186513336636075,1.5804216867469878,1.760421686746988,0.858433734939759,1.038433734939759
2026,redox-solvation hybrid entropy,imidazolium ionic-liquid phase transition electrolyte,solvation_entropy,material_system,15,21,9,13,12,18,5,1.3558673188209018,315,2,0.03201557233831991,1,4,1,1,1,0.8896408021145602,1.5073493975903614,1.6873493975903615,0.8578313253012049,1.0378313253012048
2026,nanochannel-confined ion transport,hexacyanoferrate redox electrode,transport_mechanism,electrode_interface,19,14,7,3,19,11,8,2.1580455904995253,266,2,0.010851916196596445,1,6,1,1,1,0.8711087444570151,1.5276506024096383,1.7076506024096385,0.8578313253012049,1.0378313253012048
2026,salting-out confined ion gel,charge-transfer resistance engineering,gel_microstructure,electrode_interface,12,31,6,31,8,14,10,2.9972334408132713,372,2,0.013355350777682682,1,2,1,1,1,0.9259436042777593,1.6326506024096383,1.7326506024096384,0.9367469879518072,1.0367469879518072
2026,thermoresponsive micellization p/n conversion,anti-freezing organohydrogel design,phase_or_species_transition,gel_microstructure,6,37,2,25,4,32,6,1.6716951913202478,222,2,0.0,1,2,1,1,1,0.9497037185052486,1.4085542168674698,1.58855421686747,0.8487951807228915,1.0287951807228914
2026,solvent-shell water/DES regulation,iodide/triiodide redox chemistry,solvation_entropy,redox_chemistry,12,23,5,18,11,14,5,1.369510551160498,276,2,0.002976019767419576,1,5,1,1,1,0.9227545375534028,1.4266265060240964,1.6066265060240965,0.8421686746987953,1.0221686746987952
2026,double-network hydrogel mechanics,imidazolium ionic-liquid phase transition electrolyte,gel_microstructure,material_system,20,21,11,13,16,18,13,3.638479384143565,420,2,0.0037424659073337155,1,3,1,1,1,0.8876181709584301,1.6601807228915662,1.7601807228915662,0.9210843373493975,1.0210843373493976
2026,soft mixed ionic-electronic coupling,hexacyanoferrate redox electrode,transport_mechanism,electrode_interface,16,14,3,3,16,11,8,2.2254033677426817,224,2,0.056142987589170225,1,10,1,1,1,0.8352514350585307,1.5240361445783133,1.7040361445783134,0.8391566265060241,1.0191566265060241
2026,bidirectional cationic anchoring thermodiffusion,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,8,37,0,25,8,32,6,1.6038207560273998,296,2,0.022553967996338044,1,4,1,0,1,0.8445353851624113,1.5184939759036142,1.6984939759036144,0.83855421686747,1.01855421686747
2026,thermoresponsive micellization p/n conversion,chaotropic polymer-water disruption,phase_or_species_transition,gel_microstructure,6,32,2,18,4,29,6,1.6716951913202478,192,2,0.018551368484258587,1,2,1,1,1,0.9028304286762151,1.4308433734939758,1.610843373493976,0.836144578313253,1.016144578313253
