pair_id,iTE_relation,TG_relation,iTE_paper,TG_paper,exact,semantic,relation_constrained,neighborhood,neighborhood_component,role_component,predicate_component,tie
PAIR-b2f30723cdce,MP1-iTE-P0335-02,MP1-TG-P0146-03,P0335,P0146,0,0.7779726386070251,0.8556822150945663,0.7345457720756532,0.25,1.0,1.0,b2f30723cdce644b5722524081fcca2b2d523a9a1e1b9af7523272f054f7fb6b
PAIR-dffb74f4a459,MP1-iTE-P0335-02,MP1-TG-P0146-04,P0335,P0146,0,0.7542641758918762,0.49027171432971955,0.39221737146377567,0.0,0.0,0.0,dffb74f4a459837aa7ea49c3b7c3d5c4775e31c847b207e7b90466d01171bd9c
PAIR-914ebb69df3a,MP1-iTE-P0335-02,MP1-TG-P0146-05,P0335,P0146,0,0.7300261110067368,0.5745169721543789,0.45961357772350314,0.0,0.5,0.0,914ebb69df3a60513bb9bb35adfcd914c493abc71e8ce37785667b7353ea364c
PAIR-39633d500ea3,MP1-iTE-P0335-02,MP1-TG-P0174-04,P0335,P0174,0,0.7442508786916733,0.5837630711495877,0.4670104569196702,0.0,0.5,0.0,39633d500ea3f006e77bb449e148e898d1ddebe6946572dcb3952c19622305eb
PAIR-c55f94eb89a2,MP1-iTE-P0335-02,MP1-TG-P0175-01,P0335,P0175,0,0.819506362080574,0.5326791353523731,0.4261433082818985,0.0,0.0,0.0,c55f94eb89a2f45dd760b723e03f1b8b94be3f72b11bbddfae352fccc292c29b
PAIR-8358533146d9,MP1-iTE-P0335-02,MP1-TG-P0175-02,P0335,P0175,0,0.7511330991983414,0.5882365144789219,0.47058921158313755,0.0,0.5,0.0,8358533146d9fdb3470e77697ce54cf112106683fa947bc0d79ac91d019243ff
PAIR-8e1cac54e2c3,MP1-iTE-P0335-02,MP1-TG-P0176-01,P0335,P0176,0,0.757731705904007,0.7425256088376045,0.5940204870700837,0.0,0.5,1.0,8e1cac54e2c30550e8902cfd1e0c259a77b10d66c267c983f593600020986e0d
PAIR-5615ba4e7608,MP1-iTE-P0335-02,MP1-TG-P0188-01,P0335,P0188,0,0.8203931748867035,0.6332555636763573,0.5066044509410859,0.0,0.5,0.0,5615ba4e76082bdb2caa7c86edbe907b3cc9073e84a3975b206e79dc8b96afdb
PAIR-199f79008762,MP1-iTE-P0335-02,MP1-TG-P0227-01,P0335,P0227,0,0.7683042883872986,0.5993977874517441,0.4795182299613953,0.0,0.5,0.0,199f7900876224990fec715bb31725b60b5403df636be6f7cd9fb1002e4c58e8
PAIR-ee32eb227448,MP1-iTE-P0335-02,MP1-TG-P0247-03,P0335,P0247,0,0.7867704927921295,0.7614008203148842,0.6591206562519074,0.25,0.5,1.0,ee32eb2274481d166ad5f7edcaca50bac4df82f103f0bb4ba6905832a6f8ec3e
PAIR-07ff319da321,MP1-iTE-P0335-02,MP1-TG-P0247-04,P0335,P0247,0,0.782977432012558,0.8589353308081628,0.6871482646465302,0.0,1.0,1.0,07ff319da32184e13e4f6825108676f1f6fd674211227e5ff0a44b1429c66211
PAIR-71067ab7aa37,MP1-iTE-P0335-02,MP1-TG-P0267-01,P0335,P0267,0,0.7572283893823624,0.5921984530985356,0.4737587624788285,0.0,0.5,0.0,71067ab7aa37f299663d49e7dafa790ae7c28d4fa1ba01992d11622249f1ace0
PAIR-7985a3f6ffef,MP1-iTE-P0335-02,MP1-TG-P0267-02,P0335,P0267,0,0.7694955170154572,0.6001720860600471,0.4801376688480377,0.0,0.5,0.0,7985a3f6ffefe5478a4f221dd2f0e35bb89adbffc23dab955ac45a3790c25460
