cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,ml_score,graph_score,hybrid_score,material_prediction_score
2026,cellulose nanofiber matrix,porous carbon electrode,18,9,6,9,17,2,6,2.0957108159543587,162,2,1,47,8,8,0.3418572329808888,1.5014051522248244,0.7159250585480094,0.3418572329808888
2026,porous carbon electrode,quinone redox electrolyte,9,1,9,1,2,0,0,0.0,9,3,0,3,8,3,0.34092864789638133,0.11557377049180327,0.25234192037470726,0.34092864789638133
2026,acetonitrile/nitrile solvent,silica/inorganic nanoparticle filler,5,13,4,6,2,7,2,0.7030775737641891,65,2,0,2,6,5,0.33955803180407995,0.8001170960187354,0.4752927400468384,0.33955803180407995
2026,PNIPAM thermoresponsive polymer,Prussian-blue/hexacyanoferrate electrode,3,4,1,4,2,1,1,0.33380820069533407,12,2,0,2,1,4,0.3368460287709867,0.3098360655737705,0.294847775175644,0.3368460287709867
2026,ethylene-glycol organohydrogel,polyaniline conductor,8,9,4,4,5,6,4,1.4718720007054205,72,2,16,13,6,3,0.3367501003274282,1.1671545667447307,0.5984777517564402,0.3367501003274282
2026,acetonitrile/nitrile solvent,quinone redox electrolyte,5,1,4,1,2,0,0,0.0,5,3,0,2,6,3,0.33423646528235984,0.08864168618266978,0.24297423887587818,0.33423646528235984
2026,MXene scaffold,gelatin matrix,14,15,7,7,8,14,8,2.8563693190348474,210,2,3,9,5,13,0.33296228082154017,1.7709601873536298,0.7916861826697892,0.33296228082154017
2026,Prussian-blue/hexacyanoferrate electrode,gelatin matrix,4,15,4,7,1,14,3,0.9969469257391151,60,2,0,2,4,13,0.3270376410565026,0.8651639344262294,0.4925058548009367,0.3270376410565026
2026,cyclodextrin host,ethylene-glycol organohydrogel,3,8,2,4,2,5,1,0.318928988903801,24,2,0,2,3,6,0.3266775419950898,0.3606557377049181,0.30140515222482434,0.3266775419950898
2026,polyaniline conductor,iodide/triiodide electrolyte,9,13,4,11,6,8,2,0.6797844569565277,117,2,16,10,3,14,0.3263037244420388,1.109016393442623,0.5654566744730679,0.3263037244420388
