cutoff_year,ite_donor_material,tg_anchor_material,u_degree_all,v_degree_all,u_degree_tg,v_degree_tg,u_degree_ite,v_degree_ite,common_neighbors,adamic_adar,preferential_attachment,shortest_path,ite_lead_years,ite_count,tg_donor_count,tg_anchor_count,future_TG_material_pair_label,future_example_title,future_window,ml_score,graph_score,hybrid_score,material_prediction_score
2022,ionic-liquid electrolyte,glycerol organohydrogel,16,6,3,6,15,0,5,2.156527147940945,96,2,21,107,8,2,0,,2023-2026,0.640376699769537,1.8151234567901235,0.9160493827160494,0.640376699769537
2022,Cu-based redox electrolyte,Fe2+/Fe3+ redox electrolyte,2,6,1,6,1,0,0,0.0,12,3,0,2,3,13,0,,2023-2026,0.6376901329809163,0.41923868312757195,0.42777777777777776,0.6376901329809163
2022,metal-oxide electrode,ferri/ferrocyanide electrolyte,1,11,0,11,1,3,1,0.43429448190325176,11,2,9,30,2,23,1,Boosting Gel-Based Thermogalvanic Energy Harvesting via Metal Oxide Nanostructured Electrodes,2023-2026,0.6298962221764604,0.7776748971193417,0.5520576131687243,0.6298962221764604
2022,ionic-liquid electrolyte,metal-oxide electrode,16,1,3,0,15,1,1,0.43429448190325176,16,2,21,107,8,2,0,,2023-2026,0.6197272604157014,0.925,0.601440329218107,0.6197272604157014
2022,Li-salt electrolyte,ferri/ferrocyanide electrolyte,9,11,2,11,7,3,5,2.1368345581632138,99,2,1,11,3,23,1,Thermoelectric Hydrogel Electronic Skin for Passive Multimodal Physiological Perception,2023-2026,0.608458432136962,1.7272633744855967,0.8835390946502057,0.608458432136962
2022,ionic-liquid electrolyte,Fe2+/Fe3+ redox electrolyte,16,6,3,6,15,0,4,1.9389573678076961,96,2,21,107,8,13,1,Solvent Replacement-Driven Ionic Liquid Thermoelectric Gel for Self-Powered Morse Code Communication Assisted by Machine Learning,2023-2026,0.6066170308091716,1.7727366255144035,0.8901234567901233,0.6066170308091716
2022,chitosan matrix,ferri/ferrocyanide electrolyte,3,11,0,11,3,3,1,0.40242960438184466,33,2,9,3,0,23,0,,2023-2026,0.6054294807609428,1.1133744855967078,0.6720164609053498,0.6054294807609428
2022,PEDOT:PSS conductor,ferri/ferrocyanide electrolyte,10,11,0,11,10,3,3,1.2265953315363765,110,2,11,46,0,23,0,,2023-2026,0.5992322902127848,1.7088477366255141,0.8685185185185185,0.5992322902127848
2022,cellulose nanofiber matrix,ferri/ferrocyanide electrolyte,11,11,3,11,8,3,6,2.5392641625450585,121,2,1,17,2,23,1,Robust and flexible bacterial cellulose-based thermogalvanic cells for low-grade heat harvesting in extreme environments,2023-2026,0.5957775445046845,1.8272633744855966,0.9098765432098765,0.5957775445046845
2022,Cu-based redox electrolyte,ferri/ferrocyanide electrolyte,2,11,1,11,1,3,1,0.9102392266268373,22,2,0,2,3,23,0,,2023-2026,0.594590160013933,1.0098765432098766,0.6302469135802469,0.594590160013933
2022,ionic-liquid electrolyte,cyclodextrin host,16,1,3,1,15,0,1,0.45511961331341866,16,2,21,107,8,2,0,,2023-2026,0.5898067760487085,0.9490740740740741,0.6047325102880658,0.5898067760487085
2022,Li-salt electrolyte,Fe2+/Fe3+ redox electrolyte,9,6,2,6,7,0,3,1.2918436995985152,54,2,1,11,3,13,0,,2023-2026,0.5847169574232431,1.4834362139917694,0.7878600823045268,0.5847169574232431
2022,ionic-liquid electrolyte,ferri/ferrocyanide electrolyte,16,11,3,11,15,3,7,3.0459412431576154,176,2,21,107,8,23,0,,2023-2026,0.5695400622008896,2.0012345679012347,0.9549382716049382,0.5695400622008896
2022,ionic-liquid electrolyte,carbon nanotube scaffold,16,13,3,7,15,7,8,3.5073968712338335,208,1,21,107,8,9,0,,2023-2026,0.5516935825528024,2.1123456790123454,0.9668724279835391,0.5516935825528024
2022,metal-oxide electrode,iodide/triiodide electrolyte,1,9,0,7,1,4,0,0.0,9,3,9,30,2,9,0,,2023-2026,0.5465588327726044,0.39814814814814814,0.4023662551440329,0.5465588327726044
