paper_id,title,doi,node_role,left_node_id,left_label,right_node_id,right_label,review_status
P1347,"Free-standing oligo(oxyethylene)-functionalized polythiophene with the 3,4-ethylenedioxythiophene building block: electrosynthesis, electrochromic and thermoelectric properties",10.1016/j.electacta.2017.01.019,outcome_property,TC_3b2692690887,highest seebeck coefficient,TC_fababc7795c1,seebeck coefficient,retained_not_auto_merged
P1354,One Cation Makes a Difference: Structure-Thermoelectric Interplay in Pseudo-Rock Salt Intermetallic Eu5-x A x Al3Sb6 (A = Sr and Yb),10.1021/acs.chemmater.5c02963,outcome_property,TC_29e6f835676f,thermal conductivity,TC_6c693438881a,low thermal conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_1f0da7c35004,lower lattice thermal conductivity,TC_29e6f835676f,thermal conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_1f0da7c35004,lower lattice thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_23b72c6d80af,electrical conductivity sigma,TC_3202992cc84e,conductivity sigma,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_23b72c6d80af,electrical conductivity sigma,TC_9f58ed907e7b,electrical conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_29e6f835676f,thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1355,The effects of elements doping on transport and thermoelectric properties of Sr3Ti2O7,10.1016/j.jpcs.2014.01.002,outcome_property,TC_753f72002a8f,lattice thermal conductivity,TC_8bc0b47e1cb1,lowers lattice thermal conductivity,retained_not_auto_merged
P1356,Ultra-High Electrical Conductivity in Filler-Free Polymeric Hydrogels Toward Thermoelectrics and Electromagnetic Interference Shielding,10.1002/adma.202109904,material_system,TC_4f82a6a840d2,PEDOT:PSS,TC_ee0a98d9cc93,PEDOT,retained_not_auto_merged
P1356,Ultra-High Electrical Conductivity in Filler-Free Polymeric Hydrogels Toward Thermoelectrics and Electromagnetic Interference Shielding,10.1002/adma.202109904,outcome_property,TC_9f58ed907e7b,electrical conductivity,TC_c6879e15a4a5,high electrical conductivity,retained_not_auto_merged
P1362,"Ca-doped RCoO3 (R = Gd, Sm, Nd, Pr) as thermoelectric materials",10.1039/b003964k,outcome_property,TC_0b69804fa86a,electronic thermal conductivity,TC_29e6f835676f,thermal conductivity,retained_not_auto_merged
P1363,Mind the Mines: Lapieite Minerals with Ultralow Lattice Thermal Conductivity and High Power Factor for Thermoelectricity,10.1021/acs.chemmater.1c03318,outcome_property,TC_29e6f835676f,thermal conductivity,TC_72a8e8ff9e38,suppress lattice thermal conductivity,retained_not_auto_merged
P1363,Mind the Mines: Lapieite Minerals with Ultralow Lattice Thermal Conductivity and High Power Factor for Thermoelectricity,10.1021/acs.chemmater.1c03318,outcome_property,TC_29e6f835676f,thermal conductivity,TC_753f72002a8f,lattice thermal conductivity,retained_not_auto_merged
